artist,title,length,genre,year,lyrics
Ed Sheeran,Shape Of You,3:00,pop,2017,"The club isn't the best place to find a lover
So the bar is where I go
Me and my friends at the table doing shots
Drinking faster and then we talk slow
Come over and start up a conversation with just me
And trust me I'll give it a chance now
Take my hand, stop
Put Van The Man on the jukebox
And then we start to dance
And now I'm singing like

Girl, you know I want your love
Your love was handmade for somebody like me
Come on now, follow my lead
I may be crazy, don't mind me
Say, boy, let's not talk too much
Grab on my waist and put that body on me
Come on now, follow my lead
Come, come on now, follow my lead

I'm in love with the shape of you
We push and pull like a magnet do
Although my heart is falling too
I'm in love with your body
And last night you were in my room
And now my bedsheets smell like you
Every day discovering something brand new
I'm in love with your body
Oh—i—oh—i—oh—i—oh—i
I'm in love with your body
Oh—i—oh—i—oh—i—oh—i
I'm in love with your body
Oh—i—oh—i—oh—i—oh—i
I'm in love with your body
Every day discovering something brand new
I'm in love with the shape of you





One week in we let the story begin
We're going out on our first date
You and me are thrifty
So go all you can eat
Fill up your bag and I fill up a plate
We talk for hours and hours about the sweet and the sour
And how your family is doing okay
Leave and get in a taxi, then kiss in the backseat
Tell the driver make the radio play
And I'm singing like

Girl, you know I want your love
Your love was handmade for somebody like me
Come on now, follow my lead
I may be crazy, don't mind me
Say, boy, let's not talk too much
Grab on my waist and put that body on me
Come on now, follow my lead
Come, come on now, follow my lead

I'm in love with the shape of you
We push and pull like a magnet do
Although my heart is falling too
I'm in love with your body
And last night you were in my room
And now my bedsheets smell like you
Every day discovering something brand new
I'm in love with your body
Oh—i—oh—i—oh—i—oh—i
I'm in love with your body
Oh—i—oh—i—oh—i—oh—i
I'm in love with your body
Oh—i—oh—i—oh—i—oh—i
I'm in love with your body
Every day discovering something brand new
I'm in love with the shape of you

Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on

I'm in love with the shape of you
We push and pull like a magnet do
Although my heart is falling too
I'm in love with your body
Last night you were in my room
And now my bedsheets smell like you
Every day discovering something brand new
I'm in love with your body
Come on, be my baby, come on
Come on, be my baby, come on
I'm in love with your body
Come on, be my baby, come on
Come on, be my baby, come on
I'm in love with your body
Come on, be my baby, come on
Come on, be my baby, come on
I'm in love with your body
Every day discovering something brand new
I'm in love with the shape of you"
Ed Sheeran,Castle On The Hill,3:01,pop,2018,"When I was six years old I broke my leg
I was running from my brother and his friends
And tasted the sweet perfume of the mountain grass I rolled down
I was younger then, take me back to when I

Found my heart and broke it here
Made friends and lost them through the years
And I've not seen the roaring fields in so long, I know I've grown
But I can't wait to go home

I'm on my way
Driving at 90 down those country lanes
Singing to ""Tiny Dancer""
And I miss the way you make me feel, and it's real
We watched the sunset over the castle on the hill





Fifteen years old and smoking hand-rolled cigarettes
Running from the law through the backfields and getting drunk with my friends
Had my first kiss on a Friday night, I don't reckon that I did it right
But I was younger then, take me back to when

We found weekend jobs, when we got paid
We'd buy cheap spirits and drink them straight
Me and my friends have not thrown up in so long, oh how we've grown
But I can't wait to go home

I'm on my way
Driving at 90 down those country lanes
Singing to ""Tiny Dancer""
And I miss the way you make me feel, and it's real
We watched the sunset over the castle on the hill
Over the castle on the hill
Over the castle on the hill

One friend left to sell clothes
One works down by the coast
One had two kids but lives alone
One's brother overdosed
One's already on his second wife
One's just barely getting by
But these people raised me
And I can't wait to go home

And I'm on my way, I still remember
These old country lanes
When we did not know the answers
And I miss the way you make me feel, it's real
We watched the sunset over the castle on the hill
Over the castle on the hill
Over the castle on the hill"
Ed Sheeran,How Would You Feel,3:02,pop,2017,"You are the one, girl
You know that it's true
I'm feeling younger
Every time that I'm alone with you

We were sitting in a parked car
Stealing kisses in a front yard
We got questions we shouldn't had asked but

How would you feel
If I told you I loved you
It's just something that I want to do
I'm taking my time, spending my life
Falling deeper in love with you
So tell me that you love me too





In the summer, as the lilacs blew
Blood flows deeper than a river
Every moment that I spend with you

We were sat upon our best friend's roof
I had both of my arms around you
Watching the sunrise replace the moon

How would you feel
If I told you I loved you
It's just something that I want to do
I'm taking my time, spending my life
Falling deeper in love with you
So tell me that you love me too

We were sitting in a parked car
Stealing kisses in a front yard
We got questions we shouldn't had asked

How would you feel
If I told you I loved you
It's just something that I want to do
I'm taking my time, spending my life
Falling deeper in love with you
So tell me that you love me too
Tell me that you love me too
Tell me that you love me too"
Ed Sheeran,Thinking Out Loud,3:03,pop,2020,"When your legs don't work like they used to before
And I can't sweep you off of your feet
Will your mouth still remember the taste of my love?
Will your eyes still smile from your cheeks?

And darling I will be loving you 'til we're 70
And baby my heart could still fall as hard at 23
And I'm thinking 'bout how people fall in love in mysterious ways
Maybe just the touch of a hand
Well, me I fall in love with you every single day
And I just wanna tell you I am
So honey now
Take me into your loving arms
Kiss me under the light of a thousand stars
Place your head on my beating heart
I'm thinking out loud
That maybe we found love right where we are

When my hair's all but gone and my memory fades
And the crowds don't remember my name
When my hands don't play the strings the same way
I know you will still love me the same





'Cause honey your soul could never grow old, it's evergreen
And baby your smile's forever in my mind and memory
I'm thinking 'bout how people fall in love in mysterious ways
Maybe it's all part of a plan
Well, I'll just keep on making the same mistakes
Hoping that you'll understand
But baby now

Take me into your loving arms
Kiss me under the light of a thousand stars
Place your head on my beating heart
Thinking out loud
That maybe we found love right where we are

So baby now
Take me into your loving arms
Kiss me under the light of a thousand stars
Oh darling, place your head on my beating heart
I'm thinking out loud
That maybe we found love right where we are
Oh baby we found love right where we are

And we found love right where we are"
Ed Sheeran,All Of The Stars,3:04,pop,2021,"It's just another night, and I'm staring at the moon
I saw a shooting star and thought of you
I sang a lullaby by the waterside and knew
If you were here, I'd sing to you
You're on the other side, as this skyline splits in two
Miles away from seeing you
But I can see the stars from America
I wonder do you see them too?

So open your eyes and see, the way our horizons meet
And all of the lights will lead, into the night with me
And I know these scars will bleed
But both of our hearts believe
All of these stars will guide us home

I can hear your heart on the radio beat
They're playing ""Chasing Cars"" and I thought of us
Back to the time you were laying next to me
I looked across and fell in love
So I took your hand back through London's streets and knew
Everything led back to you
So can you see the stars over Amsterdam?
Hear the song our heart is beating to?





So open your eyes and see the way our horizons meet
And all of the lights will lead into the night with me
And I know these scars will bleed
But both of our hearts believe
All of these stars will guide us home

And all
And all
And all
I can see the stars from America"
Ed Sheeran,Afire Love,3:05,pop,2013,"Things were all good yesterday
And then the devil took your memory
And if you fell to your death today
I hope that heaven is your resting place
I heard the doctors put your chest in pain
But then that could have been the medicine
And now you’re lying in the bed again
Either way I’ll cry with the rest of them.

And my father told me, “Son,
It’s not his fault he doesn’t know your face,
And you’re not the only one.
Although my grandma used to say, that he used to sing

Darling hold me in your arms the way you did last night
And we'll lie inside, a little while he wrote
I could look into your eyes until the sun comes up
And we’re wrapped in light, in life, in love.
Put your open lips on mine and slowly let them shut
For they’re designed to be together oh
With your body next to mine our hearts will beat as one
And we’re set alight, we’re afire love, love, love oh.





Things were all good yesterday
Then the devil took your breath away
And now we’re left here in the pain
Black suit, black tie standin' in the rain
And now my family is one again
Stapled together with the strangers and a friend.
Came to my mind I should paint it with a pen
Six years old I remember when.

And my father told me, “Son,
It’s not his fault he doesn’t know your face,
And you’re not the only one.
Although my grandma used to say, he used to say…

Darling hold me in your arms the way you did last night
And we'll lie inside, a little while he wrote
I could look into your eyes until the sun comes up
And we’re wrapped in light, in life, in love.
Put your open lips on mine and slowly let them shut
For they’re designed to be together oh
With your body next to mine our hearts will beat as one
And we’re set alight, we’re afire love, love, love oh

And my father and all of my family
Rise from the seats to sing hallelujah
And my mother and all of my family
Rise from the seats to sing halellujah
And my brother and all of my family
Rise from the seats to sing hallelujah
And all of my brothers and my sisters, yeah
And my father and all of my family
Rise from the seats to sing hallelujah
Hallelujah
Hallelujah
Hallelujah"
Ed Sheeran,Bibia Be Ye Ye,3:06,pop,2015,"Bibia be ye ye
I lost my shoes last night
I don't know where I put my keys
I was tired and fell asleep beneath an oak tree
I bet my mother's proud of me from each scar upon my knuckle
And each grass upon my knee, and all I know is
I got a call and then threw up on his car seat
He kicked me out and then I walked in the rain
I tell myself in every way I won't be doing this again
And tomorrow's a brand new day

Someone told me always say what's on your mind
And I am only being hones wirh you, I, I get lonely
And make mistakes from time to time
So [?] make ya'(if things aren't getting working out)
Bibia be ye ye (everything will be alright)
Bibia be ye ye ye ye ye ye ye
Bibia be ye ye

I remember less and less and mostly things I regret
In my phone are several texts from girls I've never met
And in the pocket of my jeans are only coins and broken dreams
My heart is breaking at the [?] and I'm coming apart now
Now things are looking up, I'll find my shoes right down to the oak tree
And I'll get a bus straight into town
And spend the afternoon looking around for things that I left on the ground
And say you're with me, tomorrow's a brand new day





Someone told me always say what's on your mind
And I am only being hones with you, I, I get lonely
And make mistakes from time to time
So [?] (if things aren't going well)
Bibia be ye ye
My momma (be ye ye) (your problems will be solved)
My momma [?] ye
My momma (be ye ye)
My momma [?] ye
My momma (be ye ye)
My momma [?] ye
My momma (be ye ye)
Someone told me always say what's on your mind
And I am only being hones wirh you, I, I get lonely
And make mistakes from time to time
So [?] (if things aren't going well)
Bibia be ye ye
Bibia be ye ye ye ye ye ye ye
Bibia be ye ye
My momma (be ye ye)
My momma [?] ye
My momma (be ye ye)
My momma [?] ye
Bibia be ye ye ye ye ye ye ye
My momma (be ye ye)
My momma [?] ye
My momma (be ye ye)
My momma [?] ye"
Ed Sheeran,Barcelona,3:07,pop,2016,"Well, get up, up on the dancefloor tonight
I've got two left feet and a bottle of red wine
Making me feel like the beat and the bassline
Are in my blood, both [?] upon the waistline
Get on up, baby, dance to the rhythm of the music
Don't care what the DJ chooses
Get lost in the rhythm of me
Please don't close until we wanna leave it

You and I
We’re flying on an aeroplane tonight
We’re going somewhere where the sun is shining bright
Just close your eyes
And let’s pretend in the streets of Barcelona
Barcelona!
Barcelona!
Barcelona!

We’ll get up up on the dance floor moves
It’s Saturday night, I fell in love with the sparkle and the moonlight reflected in your beautiful eyes
I guess that is destiny making it right
And just like they do in the Mediterranean
Spin you around ,e again and again
You’re like something that God has sent me
I want you baby SOLAMENTE





You and I
We’re flying on an aeroplane tonight
We’re going somewhere where the sun is shining bright
Just close your eyes
And let’s pretend to dance in the streets of Barcelona
Barcelona!
Barcelona!
Barcelona!

So let’s pretend in the streets of Barcelona
Las ramblas, I’ll meet you dancing around la sagrada
Drinking sangria
Mi niña, te amo
Mamacita, rica, te adoro señorita
Nosotros vive la vida
Como es vivir en barcelona
Las ramblas, I’ll meet you
Come on and dance with me in barcelona
Drinking sangria
I just want to be in barcelona
Mamacita, rica, feel that summer breeze in barcelona
Nosotros vive la vida
Siempre vivir en barcelona"
Ed Sheeran,Bloodstream,3:08,pop,2017,"I’ve been spinning out for time
Couple women by my side
I got sinnin' on my mind
Sipping on red wine
I’ve been sitting here for ages
Ripping out the pages
How'd I get so faded
How'd I get so faded
Oh
No no don’t leave me lonely now
If you love me how
You'll never learn
Ooh
Color crimson in my eyes
One or two could free my mind
This is how it ends
I feel the chemicals burn in my bloodstream

Fading out again
I feel the chemicals burn in my bloodstream
So tell me when it kicks in

I’ve been looking for a love
Thought I’d find her in a bottle
God make me another one
I’ll be feeling this tomorrow
Lord forgive me for the things I’ve done
I was never meant to hurt no one
I saw scars upon her, Broken hearted lover
Oh
No no don’t leave me lonely now
If you love me how
You'll never learn
Ooh
Color crimson in my eyes
One or two could free my mind
This is how it ends
I feel the chemicals burn in my bloodstream





Fading out again
I feel the chemicals burn in my bloodstream
So tell me when it kicks in

So tell me when it kicks in
All the voices in my mind
Calling out across the line
All the voices in my mind
Calling out across the line
All the voices in my mind
Calling out across the line
All the voices in my mind
Calling out across the line
All the voices in my mind
Calling out across the line
All the voices in my mind
Calling out across the line

Tell me when it kicks in
I saw scars upon her
Tell me when it kicks in
Broken hearted
Tell me when it kicks in
I saw scars upon her
Tell me when it kicks in
Broken hearted
Tell me when it kicks in
I saw scars upon her
Tell me when it kicks in
Broken hearted
Tell me when it kicks in
I saw scars upon her
Tell me when it kicks in
Broken hearted
So Tell me when it kicks in
I saw scars upon her
Tell me when it kicks in
Broken hearted
Tell me when it kicks in
I saw scars upon her
Tell me when it kicks in
Broken hearted"
Ed Sheeran,Don't,3:09,pop,2017,"Ah-la-la-la-la
Ah-la-la-la-la
I met this girl late last year
She said don’t you worry if I disappear
I told her I’m not really looking for another mistake
I called an old friend thinking that the trouble would wait
But then I jump right in
A week later return
I reckon she was only looking for a lover to burn
But I gave her my time for two or three nights
Then I put it on pause until the moment was right
I went away for months until our paths crossed again
She told me I was never looking for a friend
Maybe you could swing by my room around 10
Baby bring a lemon and a bottle of gin
We’ll be in between the sheets until the late AM
Baby if you wanted me then you should’ve just said
She’s singing
Ah-la-la-la-la
Don’t fuck with my love
That heart is so cold
All over my arm
I don’t wanna know that babe
Ah-la-la-la-la
Don’t fuck with my love
I told her she knows
Take aim and reload
I don’t wanna know that babe
Ah-la-la-la-la
For a couple weeks I
Only want to see her
We drink away the days with a take away pizza
Before a text message was the only way to reach her
Now she’s staying at my place and loves the way I treat her
Singing out Aretha
All over the track like a feature
Never want to sleep I guess that I don’t want to either
But me and her we make money the same way
Four cities, two planes the same day
Those shows have never been what it’s about
But maybe we’ll go together and just figure it out
I’d rather put on a film with you and sit on the couch
But we should get on a plane
Or we’ll be missing it now
Wish I’d have written it down
The way that things played out
When she was kissing him
How? I was confused about
She should figure it out while I’m sat here singing
Ah-la-la-la-la
Don’t fuck with my love
That heart is so cold
All over my arm
I don’t wanna know that babe
Ah-la-la-la-la
Don’t fuck with my love
I told her she knows
Take aim and reload
I don’t wanna know that babe
Ah-la-la-la-la
*Knock knock knock* on my hotel door
I don’t even know if she knows what for
She was crying on my shoulder
I already told ya
Trust and respect is what we do this for
I never intended to be next
But you didn’t need to take him to bed that’s all
And I never saw him as a threat
Until you disappeared with him to have sex of course
It’s not like we were both on tour
We were staying on the same fucking hotel floor
And I wasn’t looking for a promise or commitment
But it was never just fun and I thought you were different
This is not the way you realize what you wanted
It’s a bit too much, too late if I’m honest
All this time God knows I’m singing
Ah-la-la-la-la
Don’t fuck with my love
That heart is so cold
All over my arm
I don’t wanna know that babe
Ah-la-la-la-la
Don’t fuck with my love
I told her she knows
Take aim and reload
I don’t wanna know that babe
Ah-la-la-la-la"
